0,1,2,3,4,5,6
สถิติการจดทะเบียนรถใหม่ ตามกฎหมายว่าด้วยรถยนต์ จำแนกตามยี่ห้อรถ รุ่นรถ และจังหวัด,,,,,,
เดือนมกราคม ปี พ.ศ. 2564 - เดือนพฤษภาคม ปี พ.ศ. 2569 ,,,,,,
หน่วย: คัน ,,,,,,
ประมวลผลข้อมูล วันที่ 9 เดือนมิถุนายน ปี พ.ศ. 2569,,,,,,
หมายเหตุ: นับเฉพาะรถใหม่ ไม่รวมรถที่ใช้แล้วนำกลับมาจดทะเบียนใหม่ ,,,,,,
ปี,เดือน,ประเภทรถ,จังหวัด,ยี่ห้อรถ,รุ่นรถ,จำนวนรถ
2564,มกราคม,รย.1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,กรุงเทพมหานคร,ASTON MARTIN,V8 VANTAGE COUPE,1
2564,มกราคม,รย.1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,กรุงเทพมหานคร,ASTON MARTIN,VANQUISH COUPE,1
2564,มกราคม,รย.1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,กรุงเทพมหานคร,AUDI,A1 SB 35 TFSI S line,7
2564,มกราคม,รย.1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,กรุงเทพมหานคร,AUDI,A4 AV 45 TFSI q S line BE,3
2564,มกราคม,รย.1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,กรุงเทพมหานคร,AUDI,A5 CP 40 TFSI S line,13
2564,มกราคม,รย.1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,กรุงเทพมหานคร,AUDI,A5 CP 45 TFSI q S line BE,6
2564,มกราคม,รย.1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,กรุงเทพมหานคร,AUDI,A5 SB 40 TFSI,1
2564,มกราคม,รย.1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,กรุงเทพมหานคร,AUDI,A5 SB 40 TFSI S line,15
2564,มกราคม,รย.1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,กรุงเทพมหานคร,AUDI,A5 SB 45 TFSI q S line BE,9
